"","Sex","Best3SquatKg","Best3BenchKg","Best3DeadliftKg","TotalKg"
"11766","F",117.5,72.5,145,335
"11767","M",160,90,175,425
"11768","M",210,155,250,615
"11769","M",205,145,230,580
"11770","M",295,170,285,750
"11771","F",107.5,52.5,115,275
"11772","M",182.5,125,232.5,540
"11773","M",170,130,175,475
"11774","M",257.5,177.5,297.5,732.5
"11775","M",192.5,130,245,567.5
"11776","M",180,120,180,480
"11777","M",160,132.5,207.5,500
"11778","M",220,132.5,240,592.5
"11779","F",110,52.5,125,287.5
"11780","F",80,52.5,100,232.5
"11781","M",280,230,237.5,747.5
"11782","M",230,185,245,660
"11783","M",202.5,142.5,250,595
"11784","M",220,127.5,237.5,585
"11785","M",185,145,230,560
"11786","F",130,75,115,320
"11787","M",145,97.5,180,422.5
"11788","F",92.5,62.5,112.5,267.5
"11789","F",180,85,182.5,447.5
"11790","M",79.38,45.36,104.33,229.06
"11791","F",217.5,160,190,567.5
"11792","F",125,75,120,320
"11793","F",130,65,145,340
"11794","M",235,150,260,645
"11795","F",162,78,195,435
"11796","M",162.5,110,190,462.5
"11797","M",150,100,200,450
"11798","M",230,191,260,681
"11799","M",207.5,122.5,230,560
"11800","M",247.5,160,275,682.5
"11801","F",137.5,70,145,352.5
"11802","M",217.5,130,272.5,620
"11803","M",220,160,222.5,602.5
"11804","M",112.5,87.5,125,325
"11805","M",245,160,265,670
"11806","F",117.5,47.5,135,300
"11807","M",192.5,125,242.5,560
"11808","F",130,60,155,345
"11809","M",202.5,135,200,537.5
"11810","F",260,162.5,260,682.5
"11811","M",187.5,127.5,272.5,587.5
"11812","M",205,172.5,205,582.5
"11813","M",210,160,240,610
"11814","M",320,225,300,845
"11815","F",127.5,65,132.5,325
"11816","M",215,155,250,620
"11817","M",260,185,270,715
"11818","M",180,115,220,515
"11819","M",217.72,167.83,254.01,639.57
"11820","M",265,225,305,795
"11821","M",220,142.5,255,617.5
"11822","M",155,77.5,177.5,410
"11823","F",100,70,127.5,297.5
"11824","M",170,115,190,475
"11825","M",215,185,272.5,672.5
"11826","M",302.5,210,275,787.5
"11827","F",115,60,147.5,322.5
"11828","F",124.74,72.57,210.92,408.23
"11829","M",112.5,67.5,132.5,312.5
"11830","M",225,120,222.5,567.5
"11831","M",180,117.5,212.5,510
"11832","M",282.5,200,325,807.5
"11833","F",90,45,107.5,242.5
"11834","M",90,60,160,310
"11835","M",222.5,205,230,657.5
"11836","F",107.5,67.5,162.5,337.5
"11837","M",217.5,127.5,227.5,572.5
"11838","F",201.85,113.4,138.35,453.59
"11839","F",180,85,170,435
"11840","M",230,152.5,255,637.5
"11841","M",295,217.5,287.5,800
"11842","F",105,55,87.5,247.5
"11843","M",222.5,147.5,240,610
"11844","M",150,82.5,197.5,430
"11845","M",312.5,205,295,812.5
"11846","M",150,117.5,152.5,420
"11847","M",242.5,172.5,235,650
"11848","M",137.5,82.5,162.5,382.5
"11849","M",227.5,165,247.5,640
"11850","M",220,156.5,260.8,637.3
"11851","M",137.5,80,170,387.5
"11852","M",182.5,125,210,517.5
"11853","M",300,192.5,337.5,830
"11854","M",272.16,181.44,278.96,732.55
"11855","M",195,125,245,565
"11856","M",85,62.5,137.5,285
"11857","M",205,135,227.5,567.5
"11858","F",132.5,72.5,142.5,347.5
"11859","M",220,130,235,585
"11860","M",260,170,275,705
"11861","M",350,245,335,930
"11862","M",170,142.5,200,512.5
"11863","M",220,145,200,565
"11864","M",160,130,170,460
"11865","F",200,127.5,160,487.5
"11866","M",392.5,262.5,325,980
"11867","F",67.5,47.5,112.5,227.5
"11868","M",175,117,197,489
"11869","M",110,87.5,150,347.5
"11870","F",125,65,145,335
"11871","M",215,152.5,220,587.5
"11872","F",112.5,72.5,112.5,297.5
"11873","M",245,155,275,675
"11874","M",280,165,280,725
"11875","M",297.5,215,250,762.5
"11876","M",188,132.5,252.5,573
"11877","F",180,75,155,410
"11878","M",140,107.5,152.5,400
"11879","F",92.5,45,102.5,240
"11880","M",240.5,135,252.5,628
"11881","F",85,62.5,120,267.5
"11882","M",272.5,142.5,290,705
"11883","M",285,200,260,745
"11884","F",160,87.5,165,412.5
"11885","M",290,170,280,740
"11886","F",205,105,140,450
"11887","M",262.5,190,307.5,760
"11888","F",122.5,55,140,317.5
"11889","M",122.5,90,155,367.5
"11890","M",320,212.5,310,842.5
"11891","F",117.5,60,145,322.5
"11892","F",90,47.5,125,262.5
"11893","M",170,100,220,490
"11894","M",310,202.5,300,812.5
"11895","M",215,140,232.5,587.5
"11896","M",183.7,127.01,210.92,521.63
"11897","M",220,120,240,580
"11898","M",180,190,215,585
"11899","M",225,160,280,665
"11900","M",190,137.5,185,512.5
"11901","M",110,72.5,135,317.5
"11902","F",122.5,60,135,317.5
"11903","M",260,177.5,285,722.5
"11904","F",122.5,85,145,352.5
"11905","F",113.4,43.09,90.72,247.21
"11906","M",385,257.5,367.5,1010
"11907","F",90,65,120,275
"11908","M",150,95,212.5,457.5
"11909","F",90,50,110,250
"11910","M",357.5,207.5,342.5,907.5
"11911","M",229.06,122.47,215.46,566.99
"11912","M",227.5,205,250,682.5
"11913","M",217.5,145,260,622.5
"11914","F",100,75,137.5,312.5
"11915","M",250,155,295,700
"11916","M",175,140,210,525
"11917","M",145,90,150,385
"11918","F",102.5,50,117.5,270
"11919","F",90,55,117.5,262.5
"11920","M",232.5,135,210,577.5
"11921","M",302.5,190,307.5,800
"11922","M",160,131,187.5,478.5
"11923","M",227.5,110,267.5,605
"11924","M",135,80,195,410
"11925","M",370,235,325,930
"11926","M",195.04,111.13,226.8,532.97
"11927","M",200,127.5,212.5,540
"11928","M",255,172.5,235,662.5
"11929","M",100,100,100,300
"11930","M",167.5,107.5,192.5,467.5
"11931","M",300,190,285,775
"11932","M",160,92.5,210,462.5
"11933","M",125,85,145,355
"11934","M",287.5,215,280,782.5
"11935","M",207.5,140,227.5,575
"11936","F",142.5,77.5,162.5,382.5
"11937","F",135,70,160,365
"11938","M",207.5,165,220,592.5
"11939","F",120,65,115,300
"11940","M",200,135,235,570
"11941","M",165,120,192.5,477.5
"11942","M",140,90,160,390
"11943","M",210,132.5,255,597.5
"11944","M",215,160,250,625
"11945","F",182.5,92.5,165,440
"11946","F",140,80,142.5,362.5
"11947","F",132.5,55,142.5,330
"11948","M",165,110,200,475
"11949","M",232.5,175,305,712.5
"11950","F",140,87.5,185,412.5
"11951","F",90,62.5,125,277.5
"11952","M",230,145,259,634
"11953","M",172.37,102.06,158.76,433.18
"11954","F",105,60,130,295
"11955","M",245,145,250,640
"11956","F",97.5,52.5,137.5,287.5
"11957","F",115,60,135,310
"11958","M",165,112.5,180,457.5
"11959","M",210,135,220,565
"11960","M",220,165,227.5,612.5
"11961","M",165,100,205,470
"11962","M",260,157.5,277.5,695
"11963","M",212.5,132.5,245,590
"11964","M",177.5,120,197.5,495
"11965","M",400,320,287.5,1007.5
"11966","F",252.5,162.5,255,670
"11967","M",325,220,280,825
"11968","M",175,142.5,210,527.5
"11969","M",330,180,290,800
"11970","M",272.5,190,315,777.5
"11971","M",187.5,142.5,265,595
"11972","F",151,80,160,391
"11973","M",180,100,200,480
"11974","M",362.5,275,272.5,910
"11975","M",162.5,87.5,202.5,452.5
"11976","F",97.5,55,120,272.5
"11977","F",137.5,77.5,145,360
"11978","M",105,113,200,418
"11979","F",60,32.5,92.5,185
"11980","F",115,65,140,320
"11981","F",125,72.5,155,352.5
"11982","F",125,80,165,370
"11983","F",140,80,120,340
"11984","M",250,142.5,230,622.5
"11985","M",190,120,210,520
"11986","F",115,52.5,145,312.5
"11987","M",195,132.5,222.5,550
"11988","M",95,75,165,335
"11989","M",185,175,273,633
"11990","F",90,57.5,120,267.5
"11991","M",215,145,190,550
"11992","M",170,155,230,555
"11993","F",225,117.5,208,550.5
"11994","M",200,115,215,530
"11995","F",80,40,102.5,222.5
"11996","M",190,102.5,220,512.5
"11997","F",110,62.5,122.5,295
"11998","M",122.5,75,167.5,365
"11999","F",100,62.5,150,312.5
"12000","M",142.88,120.2,174.63,437.72
"12001","M",205,170,200,575
"12002","M",350,260,315,925
"12003","M",205,155,235,595
"12004","M",265,227.5,242.5,735
"12005","F",110,57.5,120,287.5
"12006","F",127.5,60,142.5,330
"12007","M",272.5,155,265,692.5
"12008","F",125,65,127.5,317.5
"12009","M",212.5,160,265,637.5
"12010","M",320,222.5,347.5,890
"12011","M",212.5,167.5,255,635
"12012","M",237.5,160,290,687.5
"12013","F",122.5,75,165,362.5
"12014","M",310,200,300,810
"12015","M",150,105,242.5,497.5
"12016","M",272.5,142.5,282.5,697.5
"12017","M",45,37.5,67.5,150
"12018","M",212.5,120,240,572.5
"12019","M",285,137.5,272.5,695
"12020","M",127.5,90,165,382.5
"12021","M",267.5,137.5,237.5,642.5
"12022","M",162.5,92.5,177.5,432.5
"12023","M",165,87.5,205,457.5
"12024","M",225,145,230,600
"12025","M",190,120,170,480
"12026","F",140,87.5,150,377.5
"12027","M",170,102.5,200,472.5
"12028","M",370,230,345,945
"12029","F",65,42.5,85,192.5
"12030","M",242.5,160,260,662.5
"12031","F",77.5,40,100,217.5
"12032","F",152.5,72.5,200,425
"12033","M",175,102.5,165,442.5
"12034","M",265,200,297.5,762.5
"12035","M",232.5,142.5,225,600
"12036","F",102.06,65.77,138.35,306.17
"12037","F",127.5,60,152.5,340
"12038","F",117.5,70,165,352.5
"12039","M",192.5,152.5,227.5,572.5
"12040","M",90.72,68.04,104.33,263.08
"12041","F",115,60,137.5,312.5
"12042","M",80,82.5,150,312.5
"12043","M",190,110,182.5,482.5
"12044","F",152.5,75,172.5,400
"12045","M",227.5,130,210,567.5
"12046","M",211,140,250,601
"12047","M",137.5,87.5,145,370
"12048","M",205,145,225,575
"12049","F",115,60,135,310
"12050","M",250,145,210,605
"12051","F",87.5,60,115,262.5
"12052","F",67.5,45,135,247.5
"12053","M",167.5,125,187.5,480
"12054","M",227.5,160,260,647.5
"12055","M",262.5,167.5,240,670
"12056","M",400,165,362.5,927.5
"12057","M",129.27,88.45,154.22,371.95
"12058","M",245,205.5,290,740.5
"12059","M",205,150,245,600
"12060","F",190,92.5,180,462.5
"12061","M",350,210,310,870
"12062","M",200,122.5,250,572.5
"12063","M",238.14,129.27,215.46,582.87
"12064","M",102.06,61.23,115.67,278.96
"12065","M",182.5,112.5,182.5,477.5
"12066","F",125,62.5,130,317.5
"12067","M",197.5,167.5,235,600
"12068","F",92.5,45,102.5,240
"12069","M",300,200,300,800
"12070","M",200,147.5,240,587.5
"12071","F",273.5,152.5,242.5,668.5
"12072","M",192.5,172.5,255,620
"12073","M",149.69,102.06,158.76,410.5
"12074","M",162.5,107.5,185,455
"12075","F",72.5,47.5,85,205
"12076","M",185,112.5,185,482.5
"12077","M",167.5,170,192.5,530
"12078","M",240,160,272.5,672.5
"12079","F",95,102.5,107.5,305
"12080","M",225,160.5,225,610.5
"12081","F",105,60,130,295
"12082","M",210,120,250,580
"12083","M",192.5,100,210,502.5
"12084","M",285,177.5,302.5,765
"12085","F",70,42.5,120,232.5
"12086","F",127.5,92.5,160,380
"12087","M",220,147.5,242.5,610
"12088","M",147.42,92.99,154.22,394.63
"12089","M",294.95,214.89,284.97,794.81
"12090","M",155,125,230,510
"12091","M",380,220,310,910
"12092","M",130,115,190,435
"12093","M",250,145,275,670
"12094","M",370,293,337.5,1000.5
"12095","M",267.5,162.5,270,700
"12096","F",157.5,82.5,173.5,413.5
"12097","M",167.5,117.5,212.5,497.5
"12098","M",132.5,92.5,152.5,377.5
"12099","M",320,180,320,820
"12100","M",185,130,217.5,532.5
"12101","F",110,50,125,285
"12102","F",162.5,90,142.5,395
"12103","M",245,142.5,265,652.5
"12104","F",120,60,120,300
"12105","M",187.5,90,185,462.5
"12106","M",145,102.5,185,432.5
"12107","F",220,120,210,550
"12108","M",237.5,175,272.5,685
"12109","F",107.5,65.5,125.5,298.5
"12110","M",200,152.5,222.5,575
"12111","F",122.5,67.5,157.5,347.5
"12112","M",235,150,265,650
"12113","M",332.5,230,317.5,880
"12114","F",87.5,47.5,100,235
"12115","F",155,82.5,180,417.5
"12116","M",235,150,275,660
"12117","M",245,167.5,250,662.5
"12118","M",247.5,187.5,265,700
"12119","M",295.5,175,325.5,796
"12120","M",317.5,150,335,802.5
"12121","M",263.08,190.51,278.96,732.55
"12122","M",260,205,295,760
"12123","F",140,65,170,375
"12124","M",192.5,122.5,222.5,537.5
"12125","F",107.5,47.5,120,275
"12126","M",172.5,127.5,195,495
"12127","M",250,155.5,240,645.5
"12128","M",267.5,200,265,732.5
"12129","M",170,100,220,490
"12130","M",155,95,182.5,432.5
"12131","F",122.5,57.5,145,325
"12132","M",292.5,165,300,757.5
"12133","M",200,151,227.5,578.5
"12134","F",110,67.5,125,302.5
"12135","F",105,60,110,275
"12136","M",220,120,250,590
"12137","F",125,65,142.5,332.5
"12138","M",275,192.5,247.5,715
"12139","M",247.5,192.5,245,685
"12140","M",182.5,147.5,260,590
"12141","M",185,130,182.5,497.5
"12142","F",147.42,58.97,145.15,351.53
"12143","M",292.57,165.56,276.69,734.82
"12144","M",350,300,332.5,982.5
"12145","M",195,117.5,180,492.5
"12146","F",95,85,140,320
"12147","M",272.5,160,270,702.5
"12148","M",165,82.5,152.5,400
"12149","F",115,77.5,157.5,350
"12150","F",152.5,70,162.5,385
"12151","F",112.5,62.5,105,280
"12152","F",130,82.5,145,357.5
"12153","M",170,90,200,460
"12154","F",120,60,122.5,302.5
"12155","F",117.5,65,130,312.5
"12156","F",82.5,50,100,232.5
"12157","M",220,165,245,630
"12158","M",240,145,265,650
"12159","M",162.5,137.5,182.5,482.5
"12160","M",140,115,185,440
"12161","M",263.08,208.65,294.84,766.57
"12162","M",190,105,240,535
"12163","F",110,52.5,137.5,300
"12164","F",92.5,67.5,137.5,297.5
"12165","F",87.5,45,100,232.5
"12166","M",175,181.5,240,596.5
"12167","M",238.14,165.56,249.48,653.17
"12168","F",107.5,65,125,297.5
"12169","M",300,210,300,810
"12170","F",110,65,142.5,317.5
"12171","M",260,145,280,685
"12172","M",237.5,150,245,632.5
"12173","M",205,132.5,245,582.5
"12174","M",225,155,310,690
"12175","M",150,95,180,425
"12176","M",150,100,150,400
"12177","M",92.5,67.5,122.5,282.5
"12178","M",240,150,220,610
"12179","M",292.5,195,280,767.5
"12180","M",162.5,87.5,210,460
"12181","M",287.5,172.5,245,705
"12182","F",127.5,67.5,137.5,332.5
"12183","M",150,130,225,505
"12184","M",250,280,260,790
"12185","M",275,165,260,700
"12186","M",207.5,137.5,227.5,572.5
"12187","F",70,62.5,115,247.5
"12188","M",210,125,227.5,562.5
"12189","F",267.5,120,232.5,620
"12190","F",105,62.5,155,322.5
"12191","M",180,120,265,565
"12192","F",120,67.5,147.5,335
"12193","F",95,52.5,102.5,250
"12194","M",200,130,222.5,552.5
"12195","M",185,120,210,515
"12196","M",190,137.5,257.5,585
"12197","M",130,75,130,335
"12198","F",87.5,52.5,112.5,252.5
"12199","M",235.5,150,230,615.5
"12200","M",240,185,277.5,702.5
"12201","M",170,145,187.5,502.5
"12202","F",124.74,61.23,133.81,319.78
"12203","F",82.5,60,110,252.5
"12204","F",90,47.5,102.5,240
"12205","M",130,57.5,155,342.5
"12206","M",320,220,290,830
"12207","M",192.5,132.5,247.5,572.5
"12208","M",227.5,160,215,602.5
"12209","M",188.24,102.06,188.24,478.54
"12210","M",182.5,132.5,220,535
"12211","F",97.5,60,102.5,260
"12212","F",145.15,77.11,163.29,385.55
"12213","F",142.5,52.5,167.5,362.5
"12214","M",340,65,275,680
"12215","M",210,140,252.5,602.5
"12216","F",57.5,40,105,202.5
"12217","F",130,80,130,340
"12218","M",190,105,227.5,522.5
"12219","M",185,120,170,475
"12220","F",55,42.5,97.5,195
"12221","F",165,110,202.5,477.5
"12222","M",328.85,185.97,319.78,834.61
"12223","F",99.79,49.9,99.79,249.48
"12224","F",90,60,135,285
"12225","M",160,115,240,515
"12226","M",182.5,110,227.5,520
"12227","M",322.5,210,367.5,900
"12228","F",130,77.5,147.5,355
"12229","M",235,187.5,257.5,680
"12230","M",200,85,190,475
"12231","M",226.8,124.74,244.94,596.47
"12232","M",290,230,290,810
"12233","M",290,180,300,770
"12234","F",65,45,70,180
"12235","F",150,95,160,405
"12236","M",282.5,170,272.5,725
"12237","M",275,202.5,280,757.5
"12238","F",125,72.5,150,347.5
"12239","F",305,177.5,230,712.5
"12240","F",80,55,115,250
"12241","M",132.5,80,177.5,390
"12242","M",215,152.5,237.5,605
"12243","F",160,115,197.5,472.5
"12244","M",157.5,117.5,207.5,482.5
"12245","M",205,132.5,220,557.5
"12246","M",240,132.5,227.5,600
"12247","F",140,45,175,360
"12248","M",260,170,272.5,702.5
"12249","M",170,105,190,465
"12250","M",150,112.5,190,452.5
"12251","M",205,110,240,555
"12252","M",350,182.5,340,872.5
"12253","M",165,97.5,165,427.5
"12254","M",155,75,175,405
"12255","F",145,82.5,182.5,410
"12256","F",102.5,70,147.5,320
"12257","M",182.5,110,227.5,520
"12258","M",235,157.5,240,632.5
"12259","F",182.5,95,205,482.5
"12260","M",240,210,235,685
"12261","M",185,150,212.5,547.5
"12262","M",485,340,62.5,887.5
"12263","M",249.48,149.69,233.6,632.76
"12264","M",165,112.5,212.5,490
"12265","M",275,127.5,257.5,660
"12266","M",197.5,145,215,557.5
"12267","M",265,190,250,705
"12268","M",227.5,132.5,237.5,597.5
"12269","F",137.5,75,150,362.5
"12270","F",120,75,132.5,327.5
"12271","M",201.85,136.08,233.6,571.53
"12272","M",152.5,102.5,175,430
"12273","M",215,120,230,565
"12274","M",215,150,240,605
"12275","M",240,150,240,630
"12276","M",222.5,162.5,260,645
"12277","M",232.5,110,237.5,580
"12278","F",115,62.5,115,292.5
"12279","M",240,172.5,265,677.5
"12280","F",176.9,115.67,185.97,478.54
"12281","M",210,122.5,245,577.5
"12282","M",365,215,335,915
"12283","M",138.35,102.06,208.65,449.06
"12284","M",225,140,270,635
"12285","M",185,140,190,515
"12286","F",70,40,90,200
"12287","M",172.5,132.5,205,510
"12288","M",230,140,225,595
"12289","M",182.5,110,220,512.5
"12290","F",125,70,152.5,347.5
"12291","M",142.88,83.91,156.49,383.29
"12292","M",180,95,185,460
"12293","F",102.5,60,127.5,290
"12294","M",285,160,295,740
"12295","F",130,80,150,360
"12296","F",80,42.5,117.5,240
"12297","M",160,105,227.5,492.5
"12298","F",110,57.5,125,292.5
"12299","M",235,155,235,625
"12300","M",192.78,108.86,215.46,517.1
"12301","F",125,82.5,137.5,345
"12302","M",90,80,155,325
"12303","M",132.5,82.5,170,385
"12304","M",215.46,138.35,226.8,580.6
"12305","M",308.9,172.82,281.68,763.4
"12306","M",195,127.5,222.5,545
"12307","M",120,65,155,340
"12308","F",155,70,160,385
"12309","M",185,125,220,530
"12310","F",87.5,52.5,112.5,252.5
"12311","M",190,122.5,205,517.5
"12312","M",210,165,250,625
"12313","F",182.5,107.5,190,480
"12314","M",232.5,127.5,237.5,597.5
"12315","M",255,155,227.5,637.5
"12316","M",252.5,160,267.5,680
"12317","M",200,107.5,220,527.5
"12318","M",237.5,160,245,642.5
"12319","M",190,155,215,560
"12320","M",212.5,182.5,252.5,647.5
"12321","M",120,102.5,140,362.5
"12322","M",280,165,307.5,752.5
"12323","M",70,120,70,260
"12324","M",305,195,275,775
"12325","M",170,135,170,475
"12326","M",255,172.5,240,667.5
"12327","F",142.5,87.5,165,395
"12328","M",227.5,162.5,260,650
"12329","F",82.5,42.5,112.5,237.5
"12330","F",230,120,237.5,587.5
"12331","M",300,185,295,780
"12332","F",77.5,42.5,107.5,227.5
"12333","M",267.5,195,330,792.5
"12334","M",190,122.5,195,507.5
"12335","M",150,95,180,425
"12336","M",200,140,200,540
"12337","M",90,95,130,315
"12338","F",200,105,190,495
"12339","M",185,155,235,575
"12340","F",90,55,127.5,272.5
"12341","M",215,125,230,570
"12342","M",250,142.5,272.5,665
"12343","M",182.5,105,215,502.5
"12344","M",285,197.5,322.5,805
"12345","M",170,145,200,515
"12346","F",102.5,47.5,105,255
"12347","M",210,135,260,605
"12348","M",195,130,235,560
"12349","M",145,95,187.5,427.5
"12350","F",112.5,60,137.5,310
"12351","F",83.91,65.77,136.08,285.76
"12352","F",132.5,75,170,377.5
"12353","M",204.12,129.27,226.8,560.19
"12354","F",110,62.5,107.5,280
"12355","M",242.5,147.5,250,640
"12356","M",170,120,210,500
"12357","F",90,57.5,117.5,265
"12358","M",215,157.5,240,612.5
"12359","M",220,165,215,600
"12360","M",270,145,265,680
"12361","M",265,175,307.5,747.5
"12362","F",140,100,130,370
"12363","M",237.5,137.5,255,630
"12364","M",170,127.5,215,512.5
"12365","M",142.5,92.5,145,380
"12366","M",180,130,210,520
"12367","M",230,195,260,685
"12368","F",105,57.5,130,292.5
"12369","M",192.5,140,230,562.5
"12370","F",112.5,70,137.5,320
"12371","M",218,156,235,609
"12372","M",175,142.5,217.5,535
"12373","M",187.5,127.5,237.5,552.5
"12374","M",127.5,92.5,145,365
"12375","F",77.5,42.5,97.5,217.5
"12376","M",200,130,232.5,562.5
"12377","M",185,145,252.5,582.5
"12378","M",132.5,95,135,362.5
"12379","M",300,195,320,815
"12380","F",245,122.5,215,582.5
"12381","M",202.5,145,280,627.5
"12382","F",217.5,97.5,185,500
"12383","M",155,157.5,210,522.5
"12384","M",190,157.5,192.5,540
"12385","M",135,62.5,145,342.5
"12386","F",160,100,152.5,412.5
"12387","M",185,117.5,175,477.5
"12388","F",112.5,65,130,307.5
"12389","F",125,95,145,365
"12390","M",170,110,170,450
"12391","M",207.5,175,240,622.5
"12392","F",75,52.5,130,257.5
"12393","M",190,152.5,235,577.5
"12394","F",112.5,55,122.5,290
"12395","M",210,145,245,600
"12396","M",165,112.5,175,452.5
"12397","M",312.5,260.5,297.5,870.5
"12398","F",100,67.5,142.5,310
"12399","F",75,42.5,92.5,210
"12400","M",355,225,360,940
"12401","M",226.8,145.15,217.72,589.67
"12402","F",112.5,55,122.5,290
"12403","M",212.5,135,265,612.5
"12404","M",200,157.5,240,597.5
"12405","M",325,187.5,320,832.5
"12406","M",340,165,330,835
"12407","M",220,145,235,600
"12408","M",150,115,180,445
"12409","F",107.5,67.5,110,285
"12410","M",240,180,250,670
"12411","F",83.91,43.09,97.52,224.53
"12412","M",278.96,149.69,215.46,644.1
"12413","M",185,110,230,525
"12414","F",270,135,210,615
"12415","M",230,150,235,615
"12416","M",220,135,222.5,577.5
"12417","M",265,155,320,740
"12418","M",330,210,312.5,852.5
"12419","F",92.5,52.5,90,235
"12420","M",270,155,230,655
"12421","F",105,70,130,305
"12422","M",305,217.5,310,832.5
"12423","M",175,110,227.5,512.5
"12424","M",147.5,110,142.5,400
"12425","F",142.5,82.5,162.5,387.5
"12426","M",317.52,233.6,317.52,868.63
"12427","M",365,175,292.5,832.5
"12428","M",180,110,195,485
"12429","F",77.5,47.5,110,235
"12430","M",135,70,160,365
"12431","M",60,70,110,240
"12432","M",200,140,210,550
"12433","M",330,275,300,905
"12434","F",92.5,70,122.5,285
"12435","M",187.5,140,217.5,545
"12436","M",222.5,145,235,602.5
"12437","F",105,60,132.5,297.5
"12438","M",136.08,77.11,181.44,394.63
"12439","M",195,150,200,545
"12440","M",129.27,106.59,174.63,410.5
"12441","M",202.5,120,220,542.5
"12442","M",220,150,255,625
"12443","M",192.5,140,210,542.5
"12444","M",201.85,138.35,174.63,514.83
"12445","M",250,175,250,675
"12446","M",160,125,222.5,507.5
"12447","M",150,140,170,460
"12448","M",240,175,287.5,702.5
"12449","F",95,60,120,275
"12450","M",149.69,79.38,192.78,421.84
"12451","M",210,147.5,272.5,630
"12452","M",340,210,300,850
"12453","M",295,190,252.5,737.5
"12454","M",212.5,155,212.5,580
"12455","M",130,97.5,135,362.5
"12456","F",85.5,47.5,90,223
"12457","F",130,70,137.5,337.5
"12458","F",110,65,142.5,317.5
"12459","M",167.5,140,207.5,515
"12460","M",305,222.5,282.5,810
"12461","M",215,120,255,590
"12462","F",70,62.5,115,247.5
"12463","M",185,130,252.5,567.5
"12464","M",250,195,260,705
"12465","M",290,170,260,720
"12466","M",240,157.5,240,637.5
"12467","M",295,165,240,700
"12468","F",80,37.5,95,212.5
"12469","F",92.5,80,147.5,320
"12470","M",180,115,220,515
"12471","M",204.12,149.69,199.58,553.38
"12472","M",185,135,237.5,557.5
"12473","M",250,170,305,725
"12474","F",55,32.5,80,167.5
"12475","F",85,50,105,240
"12476","M",190,112.5,230,532.5
"12477","M",200,130,205,535
"12478","M",127.5,80,142.5,350
"12479","M",225,177.5,262.5,665
"12480","F",97.5,52.5,155,305
"12481","M",210,130,230,570
"12482","F",138.35,83.91,158.76,381.02
"12483","F",97.5,50,107.5,255
"12484","M",300,150,295,745
"12485","M",205,150,242.5,597.5
"12486","M",190,135,200,525
"12487","M",230,142.5,220,592.5
"12488","M",267.5,195,280,742.5
"12489","F",130,68,150,348
"12490","M",190,115,260,565
"12491","F",95,57.5,127.5,280
"12492","M",240,160,230,630
"12493","M",210,117.5,205,532.5
"12494","F",107.5,62.5,115,285
"12495","F",85,47.5,125,257.5
"12496","M",207.5,135,195,537.5
"12497","F",117.5,50,120,287.5
"12498","F",82.5,40,120,242.5
"12499","M",235,152.5,257.5,645
"12500","M",190,135,235,560
"12501","M",235,170,240,645
"12502","M",252.5,152.5,240,645
"12503","M",207.5,127.5,227.5,562.5
"12504","F",90,52.5,105,247.5
"12505","M",227.5,152.5,265,645
"12506","M",210,152.5,260,622.5
"12507","M",238.14,149.69,226.8,614.62
"12508","M",182.5,132.5,232.5,547.5
"12509","F",55,42.5,87.5,185
"12510","M",220,120,210,550
"12511","M",200,170,222.5,592.5
"12512","M",195,110,235,540
"12513","M",185,125,210,520
"12514","M",200,140,305,645
"12515","M",270,155,275,700
"12516","M",215,160,260,635
"12517","F",132.5,65,140,337.5
"12518","M",242.5,187.5,287.5,717.5
"12519","F",202.5,117.5,192.5,512.5
"12520","M",107.5,122.5,147.5,377.5
"12521","F",200,126,185,511
"12522","F",105,72.5,115,292.5
"12523","F",52.5,35,77.5,165
"12524","M",230,152.5,297.5,680
"12525","M",142.5,60,145,347.5
"12526","M",207.5,132.5,220,560
"12527","M",230,157.5,247.5,635
"12528","M",217.5,127.5,240,585
"12529","M",210,120,230,560
"12530","M",182.5,147.5,182.5,512.5
"12531","M",220,135,250,605
"12532","M",200,150,190,540
"12533","M",190,115,220,525
"12534","M",152.5,127.5,207.5,487.5
"12535","M",330,215,307.5,852.5
"12536","F",145,87.5,125,357.5
"12537","M",160,100,192.5,452.5
"12538","M",70,40,102.5,212.5
"12539","F",107.5,55,117.5,280
"12540","M",205,140,222.5,567.5
"12541","M",132.5,77.5,197.5,407.5
"12542","M",160,107.5,197.5,465
"12543","M",220,140,305,665
"12544","M",247.21,145.15,222.26,614.62
"12545","M",226.8,181.44,285.76,694
"12546","F",88.45,47.63,74.84,210.92
"12547","M",340,230,270,840
"12548","M",175,122.5,222.5,520
"12549","M",225,155,230,610
"12550","M",167.5,115,205,487.5
"12551","F",85,47.5,85,217.5
"12552","F",150,70,185,405
"12553","M",380,215,365,960
"12554","M",187.5,137.5,220,545
"12555","M",215,122.5,220,557.5
"12556","M",297.5,182.5,320,800
"12557","M",220,160,215,595
"12558","M",197.5,125,215,537.5
"12559","M",290,180,335,805
"12560","M",380,190,330,900
"12561","M",232.5,147.5,245,625
"12562","F",115,60,150,325
"12563","M",206,125,229,560
"12564","F",110,50,115,275
"12565","M",60,137.5,215,412.5
"12566","M",182.5,80,190,452.5
"12567","F",117.5,55,145,317.5
"12568","M",290,200,225,715
"12569","F",160,85,105,350
"12570","M",200,92.5,192.5,485
"12571","M",240,140,280,660
"12572","M",227.5,182.5,225,635
