"","X","Name","Sex","Event","Equipment","Age","AgeClass","BirthYearClass","Division","BodyweightKg","WeightClassKg","Best3SquatKg","Best3BenchKg","Best3DeadliftKg","TotalKg","Place","Dots","Wilks","Glossbrenner","Goodlift","Tested","Country","Date"
"20",168516,"Jason Thiel","M","SBD","Raw",34.5,"24-34","24-39","MR-O",81.6,"83",160,100,202.5,462.5,"9",315.26,311.89,300.25,64.58,"Yes","United States of America","2015-12-12"
"21",409413,"Dennis Hulslander","M","SBD","Single-ply",31,"24-34","24-39","M-O",144.9,"125+",357.5,250,327.5,935,"4",507.54,519.87,492.8,84.81,"Yes","United States of America","2003-07-19"
"22",40360,"Dmitriy Korshunov","M","SBD","Raw",27,"24-34","24-39","Amateur Open",70.4,"75",130,95,145,370,"1",276.84,276.07,267.48,55.75,"Yes","Russia","2013-11-30"
"23",501301,"Mike Leadbetter","M","SBD","Raw",56,"55-59","50-59","M-M4",109.8,"110",195,140,272.5,607.5,"1",360.05,357.71,341.86,73.48,"Yes","England","2007-06-23"
"24",619895,"Colleen Secor","F","SBD","Wraps",45,"45-49","40-49","Masters 45-49",81.3,"82.5",125,75,167.5,367.5,"1",343.53,333.31,292.03,70.32,"Yes","United States of America","2022-06-04"
"25",328373,"Stephanos Karidis","M","SBD","Raw",22.5,"20-23","19-23","MR-Jr",92.4,"93",252.5,140,300,692.5,"1",441.98,436.37,417.76,90.88,"Yes","England","2022-10-29"
"26",674356,"Fabián Silva","M","SBD","Raw",16.5,"16-17","14-18","Sub-Juniors",81.9,"83",200.5,92.5,205,498,"2",338.75,335.08,322.52,69.4,"Yes","Peru","2018-07-06"
"27",15636,"Ville Niskanen","M","SBD","Single-ply",24.5,"24-34","24-39","Open",101.15,"105",170,95,200,465,"2",284.81,281.72,269.04,48.36,"Yes","Finland","2020-10-10"
"28",553741,"Kim Burke","F","SBD","Raw",46,"45-49","40-49","Open",74.3,"75",125,80,155,360,"1",352.38,344.26,302.93,71.75,"no","United States of America","2015-12-12"
"29",593081,"Shannon Paulson","F","SBD","Raw",49,"45-49","50-59","Masters 45-49",65.4,"67.5",87.5,80,137.5,305,"1",320.75,318.53,281.13,65.19,"Yes","United States of America","2020-02-22"
"30",603343,"Michael MacMillan","M","SBD","Raw",66,"65-69","60-69","Masters 65-69",80.1,"82.5",107.5,85,137.5,330,"1",227.38,225.11,216.89,46.51,"no","United States of America","2018-12-08"
"31",500978,"Sean Coll","M","SBD","Wraps",41,"40-44","40-49","M-OR",64.7,"67.5",182.5,95,207.5,485,"2",385.72,387.17,376.58,76.4,"no","Australia","2022-04-24"
"32",589609,"Richelle Ledesma","F","SBD","Wraps",25,"24-34","24-39","Open",51.9,"52",107.5,65,137.5,310,"1",378.37,387.03,343.1,78.41,"no","United States of America","2019-03-16"
"33",595161,"Keelee MacPhee","F","SBD","Raw",47,"45-49","40-49","Masters 45-49",89.1,"90",122.5,60,127.5,310,"1",277.61,269,234.03,57.28,"no","United States of America","2018-08-25"
"34",212754,"Adesh Ramdhanas","M","SBD","Raw",19.5,"20-23","19-23","MR-C",81.26,"82.5",220,120,260,600,"2",409.97,405.65,390.59,83.95,"Yes","United States of America","2022-12-03"
"35",645039,"Jamison Richardson","M","SBD","Wraps",25.5,"24-34","24-39","Pro Open",123.74,"125",290,162.5,305,757.5,"2",430.7,432.56,414.25,86.9,"no","United States of America","2016-05-14"
"36",129464,"Sara Milanowski","F","SBD","Raw",32.5,"24-34","24-39","FR-O",117.9,"100+",140,92.5,160,392.5,"1",316.53,314.86,267.07,67.49,"Yes","United States of America","2022-10-29"
"37",662873,"Gary Clock","M","SBD","Single-ply",55,"55-59","50-59","LM 55-59",110,"110",247.5,185,250,682.5,"1",404.22,401.65,383.87,68.34,"Yes","United States of America","2004-12-01"
"38",416796,"Todd Dierks","M","SBD","Single-ply",43.5,"40-44","40-49","M-O",110,"110",217.72,142.43,234.96,595.11,"8",352.46,350.22,334.72,59.59,"Yes","United States of America","2005-01-29"
"39",390049,"Christian Delpieu","M","SBD","Raw",64.5,"60-64","60-69","Masters 3",91.2,"93",195,115,233,543,"1",348.79,344.35,329.84,71.72,"Yes","France","2016-03-04"
"40",185045,"Mason Cabney","M","SBD","Raw",16.5,"16-17","14-18","MR-T2",65.4,"66",192.5,102.5,190,485,"1",382.6,383.7,373.01,75.97,"Yes","United States of America","2015-01-24"
"41",611259,"Rachel Prados","F","SBD","Raw",42,"40-44","40-49","Masters 40-44",65.6,"67.5",130,70,177.5,377.5,"1",396.28,393.36,347.16,80.53,"no","United States of America","2022-04-15"
"42",435487,"Aleksey Kostylev","M","SBD","Single-ply",27,"24-34","24-39","Open",85.35,"90",170,140,230,540,"2",358.98,354.68,340.74,61.36,"Yes","Russia","2000-12-03"
"43",574563,"Antonio Douglas","M","SBD","Raw",28,"24-34","24-39","Open",87.9,"90",230,137.5,247.5,615,"5",402.49,397.47,381.34,82.72,"Yes","United States of America","2021-02-27"
"44",302838,"Jonna O'Campo","F","SBD","Single-ply",35,"35-39","24-39","Open",47.6,"48",110,62.5,125,297.5,"2",386.27,396.44,353.07,64.57,"Yes","United States of America","2005-11-09"
"45",334059,"Robyn Williams","F","SBD","Raw",35,"35-39","24-39","F_OR_APF",85.6,"90",122.5,60,137.5,320,"1",291.85,282.74,246.84,60,"no","United States of America","2017-09-24"
"46",724490,"Patrick Prieto","M","SBD","Single-ply",17.5,"18-19","14-18","Boys",73.57,"74.8",256.28,127.01,238.14,621.42,"2",451.4,448.86,434.06,77.3,"Yes","United States of America","2018-02-10"
"47",240433,"Michelle Brand #1","F","SBD","Single-ply",39.5,"35-39","40-49","F-O",79.2,"80",150,75,137.5,362.5,"1",343.29,333.57,292.7,58.41,"Yes","Scotland","2013-01-27"
"48",679812,"Sarah Rainbow","F","SBD","Raw",19.5,"20-23","19-23","Juniors",77.05,"84",135,97,170,402,"1",386.07,375.9,330.29,78.75,"Yes","Australia","2015-08-14"
"49",665979,"Ivan Pelikh","M","SBD","Raw",16,"16-17","14-18","O",65.4,"67.5",130,80,175,385,"7",303.72,304.59,296.1,60.31,"Yes","Ukraine","2011-10-21"
"50",675803,"Marinela Fras","F","SBD","Raw",19.5,"20-23","19-23","Juniors",62.4,"63",122.5,65,146,333.5,"1",360.79,360.78,318.61,73.42,"Yes","Croatia","2017-12-09"
"51",656404,"Aleksandr Shanbanovich","M","SBD","Single-ply",19.5,"20-23","19-23","Open",124.6,"100+",190,85,180,455,"8",258.14,259.45,248.35,43.36,"Yes","Belarus","2010-12-08"
"52",107851,"Nils Andersen","M","SBD","Raw",34.5,"24-34","24-39","MR-O",82.6,"83",182.5,110,205,497.5,"8",336.77,333.04,320.43,69.04,"Yes","United States of America","2016-11-05"
"53",689407,"Edith Guennec","F","SBD","Raw",64.5,"60-64","60-69","Masters 3",60.58,"63",80,50,135,265,"1",291.99,293.26,259.07,59.5,"Yes","France","2021-07-07"
"54",365401,"Jesse Carreon","M","SBD","Single-ply",26,"24-34","24-39","Natural",82.5,"82.5",250,155,240,645,"3",436.92,432.09,415.76,74.75,"no","United States of America","1992-03-29"
"55",744521,"Michal Sekot","M","SBD","Raw",53.5,"50-54","50-59","Masters 2",91.77,"93",225,152.5,235,612.5,"8",392.23,387.24,370.83,80.65,"Yes","Czechia","2015-06-05"
"56",172686,"Brandon Lazarz","M","SBD","Raw",31,"24-34","24-39","MR-O",104.4,"105",232.5,162.5,265,660,"3",398.97,395.19,377.35,81.7,"Yes","United States of America","2016-08-20"
"57",513950,"Jan Gorol","M","SBD","Wraps",19,"18-19","19-23","T18-19",64.4,"67.5",150,140,170,460,"1",367.13,368.66,358.65,72.65,"no","Czechia","2014-04-14"
"58",496595,"Laura Sgro","F","SBD","Wraps",31,"24-34","24-39","F-OR",59.95,"60",210,100,195,505,"1",560.11,563.38,497.78,114.22,"no","Australia","2022-04-04"
"59",592968,"Ashton Larson","M","SBD","Raw",17,"16-17","14-18","Juniors 16-17",89.4,"90",142.5,110,170,422.5,"2",274.11,270.65,259.46,56.35,"Yes","United States of America","2023-01-07"
"60",265249,"Nicola Payne #1","F","SBD","Single-ply",26.5,"24-34","24-39","Open",59.55,"60",120,70,167.5,357.5,"2",398.2,400.91,354.26,66.7,"Yes","England","2005-03-05"
"61",492569,"Lyubov Pavlova","F","SBD","Single-ply",24.5,"24-34","24-39","Open",51.7,"52",115,67.5,132.5,315,"6",385.5,394.45,349.72,64.41,"Yes","Russia","1995-03-02"
"62",711323,"Roger Remy","M","SBD","Raw",68.5,"65-69","60-69","Masters 3",79.12,"83",140,103,185,428,"1",297.07,294.26,283.67,60.71,"Yes","Belgium","2022-04-30"
"63",722366,"Adrian Valle","M","SBD","Single-ply",14.5,"13-15","14-18","Boys",109.95,"124.7",156.49,79.38,136.08,371.95,"18",220.33,218.92,209.23,37.25,"Yes","United States of America","2014-01-25"
"64",589439,"Jen Juico","M","SBD","Raw",31,"24-34","24-39","Open",67.2,"67.5",162.5,115,227.5,505,"5",390.49,390.76,379.38,77.98,"no","United States of America","2016-09-03"
"65",198168,"Jeysel Vento","F","SBD","Raw",22.5,"20-23","19-23","FR-Jr",47.11,"52",52.5,30,100,182.5,"1",238.77,245.03,218.39,50.47,"Yes","United States of America","2017-08-05"
"66",280641,"Yuriy Sunyaev","M","SBD","Wraps",52,"50-54","50-59","Amateur Masters 50-59",91.7,"100",130,112.5,160,402.5,"1",257.85,254.57,243.78,53.02,"Yes","Russia","2018-03-31"
"67",289486,"Paweł Mazij","M","SBD","Raw",21,"20-23","19-23","Juniorzy do lat 23",65.9,"66",175,132.5,205,512.5,"1",402.01,402.92,391.54,79.95,"Yes","Poland","2015-10-16"
"68",367537,"Alan Cayer","M","SBD","Single-ply",24,"24-34","24-39","Open",67.5,"67.5",183.71,117.93,226.8,528.44,"1",407.29,407.44,395.49,69.67,"no","United States of America","1981-04-11"
"69",595864,"Carly Quinlan","F","SBD","Raw",29,"24-34","24-39","Open",57.3,"60",117.5,67.5,155,340,"2",388.2,392.92,347.4,79.44,"no","United States of America","2022-03-26"
"70",553068,"Nick Martin","M","SBD","Raw",28,"24-34","24-39","Open",87.7,"90",182.5,127.5,210,520,"3",340.72,336.48,322.86,70.02,"no","United States of America","2018-07-07"
"71",559875,"Joshua Chayot","M","SBD","Raw",32,"24-34","24-39","Open",67.9,"75",127.5,67.5,180,375,"1",287.8,287.77,279.26,57.59,"Yes","United States of America","2021-04-18"
"72",184736,"Michael Carsley","M","SBD","Raw",32.5,"24-34","24-39","MR-O",118.45,"120",257.5,155,300,712.5,"2",410.98,410.9,393.67,83.3,"Yes","United States of America","2021-10-02"
"73",683021,"Sinead Rooney","F","SBD","Wraps",29.5,"24-34","24-39","F-O",82.43,"82.5",132.5,72.5,150,355,"2",329.62,319.63,279.8,67.55,"no","Scotland","2018-04-22"
"74",169774,"Lauren Bixby","F","SBD","Raw",19.5,"20-23","19-23","FR-O",79.2,"84",115,75,130,320,"3",303.04,294.46,258.38,61.92,"Yes","United States of America","2019-06-22"
"75",577606,"Sammy Sebok","M","SBD","Single-ply",33,"24-34","24-39","Open",123.3,"125",320,230,285,835,"1",475.31,477.18,457.05,79.88,"no","United States of America","2016-02-20"
"76",351190,"Marissa Casavina","F","SBD","Wraps",35,"35-39","24-39","F_OCR_APF",64.86,"67.5",127.5,72.5,125,325,"1",343.47,341.5,301.44,69.81,"no","United States of America","2018-10-27"
"77",503618,"Jérôme Dechamps","M","SBD","Single-ply",22,"20-23","19-23","M-JR",121.9,"125",310,182.5,300.5,793,"1",453.07,454.29,435.3,76.18,"Yes","Belgium","2010-11-14"
"78",523599,"Megann Dillinger","F","SBD","Raw",24,"24-34","24-39","Open",75,"75",115,62.5,132.5,310,"2",301.93,294.7,259.23,61.51,"no","United States of America","2023-03-11"
"79",79199,"KJ Cameron","M","SBD","Raw",42,"40-44","40-49","MR-M1",118.64,"120",262.5,172.5,292.5,727.5,"4",419.41,419.38,401.82,84.99,"Yes","United States of America","2019-10-16"
"80",610849,"Zack McDole","M","SBD","Raw",30,"24-34","24-39","Open",104.37,"110",297.5,197.5,297.5,792.5,"2",479.12,474.57,453.15,98.12,"no","United States of America","2014-11-05"
"81",139778,"Joseph Javanovich","M","SBD","Raw",15.5,"16-17","14-18","MR-T1",54.85,"59",87.5,42.5,120,250,"8",227.93,232.3,228.04,43.02,"Yes","United States of America","2019-03-02"
"82",476538,"Nataliya Sukhoviy","F","SBD","Single-ply",54.5,"50-54","50-59","Open",50.45,"52",100,45,100,245,"1",305.04,312.6,277.45,50.96,"Yes","Ukraine","2015-09-04"
"83",730724,"Ivan Poleshchuk","M","SBD","Wraps",36,"35-39","24-39","Pro Open",101.9,"110",240,187.5,280,707.5,"2",431.99,427.43,408.15,88.59,"no","Russia","2021-04-23"
"84",321619,"Olexiy Nazarenko","M","SBD","Single-ply",19.5,"20-23","19-23","Student",85.65,"90",290,150,290,730,"1",484.36,478.53,459.65,82.79,"Yes","Ukraine","1997-12-15"
"85",708466,"Kevin Phillipson","M","SBD","Wraps",28,"24-34","24-39","25-29",100,"100",181.44,142.88,242.67,566.99,"1",348.99,345.06,329.57,71.63,"no","United States of America","2009-06-07"
"86",229648,"Robyn Homans","F","SBD","Raw",24.5,"24-34","24-39","Open",77.6,"84",120,70,125,315,"1",301.41,293.31,257.63,61.51,"Yes","Canada","2013-07-07"
"87",53882,"Elisa Corda","F","SBD","Multi-ply",35,"35-39","24-39","Open",65,"67.5",140,70,190,400,"1",422.19,419.64,370.4,70.97,"no","Italy","2021-06-01"
"88",369884,"Hayward Gregg","M","SBD","Single-ply",55.5,"55-59","50-59","Masters 55-59",82.5,"82.5",232.5,138.5,220,591,"1",400.34,395.91,380.95,68.49,"Yes","United States of America","1994-11-05"
"89",392583,"Oleksiy Sadovskyy","M","SBD","Raw",38.5,"35-39","24-39","O",90,"90",220,142.5,255,617.5,"3",399.28,394.21,377.81,82.09,"Yes","Ukraine","2019-04-06"
"90",604435,"Timothy Sparkes","M","SBD","Wraps",49,"45-49","40-49","Masters 45-49",99.1,"100",227.5,127.5,300,655,"1",404.75,400.09,382.19,83.1,"no","United States of America","2016-11-10"
"91",223294,"Levi Bleau","M","SBD","Raw",16,"16-17","14-18","Varsity",87.27,"88",188.24,131.54,219.99,539.77,"5",354.59,350.2,336.09,72.86,"no","United States of America","2016-03-12"
"92",554720,"Deborah Hasten","F","SBD","Raw",61,"60-64","60-69","Masters 60-64",57.8,"60",70,55,112.5,237.5,"1",269.64,272.6,240.99,55.14,"no","United States of America","2018-03-24"
"93",386898,"Yasito Fukushima","M","SBD","Single-ply",28.5,"24-34","24-39","Open",120,"125",300,200,230,730,"2",419.24,419.69,402.17,70.55,"Yes","Japan","1994-09-19"
"94",109883,"Vincent Burch","M","SBD","Raw",23.5,"24-34","24-39","MR-O",70.8,"74",205,125,225,555,"3",413.64,412.34,399.4,83.38,"Yes","United States of America","2021-09-18"
"95",593716,"Aramis Acevedo","M","SBD","Raw",38,"35-39","24-39","Open",103.6,"110",160,130,180,470,"1",285.01,282.2,269.46,58.39,"Yes","United States of America","2022-11-12"
"96",381519,"Šarūnas Tolvaiša","M","SBD","Raw",26.5,"24-34","24-39","Open",65.7,"66",185,125,220,530,"1",416.68,417.72,405.99,82.82,"Yes","Lithuania","2017-01-01"
"97",757161,"Masahito Kitsui","M","SBD","Single-ply",40.5,"40-44","40-49","Open",92.5,"93",225,297.5,240,762.5,"21",486.41,480.23,459.73,82.92,"Yes","Hong Kong","2019-11-18"
"98",566975,"Alex Hilario","M","SBD","Raw",45,"45-49","40-49","Masters 45-49",74.3,"75",190,115,215,520,"1",375.31,372.97,360.53,76.18,"no","United States of America","2022-09-17"
"99",416532,"Michael Glantz","M","SBD","Single-ply",15,"13-15","14-18","M-HS",125,"125",155,75,155,385,"1",218.2,219.39,209.95,36.65,"Yes","United States of America","2009-01-31"
"100",63004,"Natalie March","F","SBD","Raw",22,"20-23","19-23","F_JR_ABPU",62.95,"67.5",65,47.5,130,242.5,"1",260.94,260.59,230.11,53.08,"Yes","UK","2021-05-21"
"101",33880,"Amalie Larsson","F","SBD","Raw",25.5,"24-34","24-39","Open",110.96,"84+",175,75,197.5,447.5,"2",367.81,363.19,309.04,77.85,"Yes","Denmark","2018-04-06"
"102",134981,"Kyle Wilkinson #3","M","SBD","Raw",26.5,"24-34","24-39","MR-C",91.05,"100",190,130,230,550,"4",353.58,349.08,334.39,72.7,"Yes","United States of America","2023-01-07"
"103",564032,"Omar Zahra","M","SBD","Raw",37,"35-39","24-39","Open",86.2,"90",177.5,125,215,517.5,"3",342.19,338.02,324.59,70.29,"no","United States of America","2022-05-15"
"104",721758,"Julian Cadena","M","SBD","Single-ply",18.5,"18-19","19-23","Boys",59.33,"59.8",167.83,149.69,174.63,492.15,"1",419.26,424.09,414.39,71.34,"Yes","United States of America","2022-02-05"
"105",364518,"Karl Gillingham","M","SBD","Single-ply",30.5,"24-34","24-39","Open",125,"125",288.03,210.92,328.85,827.81,"1",469.17,471.72,451.43,78.79,"Yes","United States of America","1996-02-24"
"106",64234,"Charlotte McCoy","F","SBD","Wraps",32,"24-34","24-39","F_OCR_ABPU",59.75,"60",130,75,160,365,"1",405.69,408.25,360.73,82.74,"Yes","England","2022-11-20"
"107",556776,"Blake Whitmer","M","SBD","Raw",21,"20-23","19-23","Juniors 20-23",109.45,"110",200,112.5,212.5,525,"2",311.53,309.44,295.7,63.59,"Yes","United States of America","2023-02-18"
"108",606195,"Mike Zimmerman","M","SBD","Wraps",36,"35-39","24-39","Submasters 35-39",109.5,"110",287.5,197.5,300,785,"1",465.73,462.62,442.09,95.06,"no","United States of America","2014-06-14"
"109",297859,"Kseniya Gunina","F","SBD","Single-ply",29,"24-34","24-39","Open",59,"60",140,90,150,380,"1",425.77,429.22,379.33,71.3,"no","Russia","2015-06-20"
"110",144834,"Sevon Bumper","M","SBD","Raw",28.5,"24-34","24-39","MR-O",90,"90",265,175,292.5,732.5,"1",473.64,467.62,448.17,97.38,"Yes","United States of America","2022-04-30"
"111",237627,"Cydney Arnold","F","SBD","Raw",18.5,"18-19","19-23","Juniors",62.9,"63",90,55,115,260,"1",279.9,279.57,246.87,56.94,"Yes","Canada","2012-04-10"
"112",503040,"Mark Davies","M","SBD","Raw",40.5,"40-44","40-49","M-M1",107.1,"110",220,175,265,660,"1",394.93,391.73,374.16,80.74,"Yes","Wales","2003-10-18"
"113",183073,"Richard Squires","M","SBD","Raw",18.5,"18-19","19-23","MR-V",126.7,"120+",160,92.5,142.5,395,"2",222.92,224.49,214.74,44.86,"Yes","United States of America","2018-03-11"
"114",19649,"Francia Rivero","F","SBD","Raw",48,"45-49","40-49","Open",74.4,"76",112.5,47.5,125,285,"2",278.77,272.31,239.61,56.77,"Yes","Chile","2021-10-30"
"115",71751,"Jesse Ramos","M","SBD","Raw",28.5,"24-34","24-39","MR-O",55.95,"56",152.5,92.5,210,455,"1",407.57,414.57,406.49,77.46,"Yes","United States of America","2022-04-16"
"116",614239,"Nolan Henderon","M","SBD","Raw",17,"16-17","14-18","Juniors 16-17",96.75,"100",155,127.5,192.5,475,"1",296.69,293.08,280.14,60.96,"no","United States of America","2019-11-09"
"117",312559,"Anna Zhelyuk","F","SBD","Single-ply",20.5,"20-23","19-23","Open",92.5,"90+",180,85,195,460,"3",405.24,393.16,340.81,69.82,"Yes","Ukraine","2003-02-26"
"118",200548,"Jo House","M","SBD","Raw",70,"70-74","70-999","MR-M4",88.25,"90",150,118.5,192.5,461,"1",301.09,297.31,285.19,61.88,"Yes","United States of America","2022-06-08"
"119",112957,"Sam Zerega","M","SBD","Raw",20.5,"20-23","19-23","MR-Jr",64.6,"66",137.5,85,152.5,375,"3",298.58,299.75,291.57,59.12,"Yes","United States of America","2016-05-28"
"120",560311,"Michael White","M","SBD","Raw",20,"20-23","19-23","Open",99.2,"100",232.5,167.5,295,695,"2",429.28,424.34,405.35,88.13,"no","United States of America","2017-11-11"
"121",260506,"Viktor Durco","M","SBD","Multi-ply",18,"18-19","14-18","T3",90,"90",260,145,235,640,"2",413.82,408.57,391.58,70.62,"no","Slovakia","2005-05-04"
"122",320128,"Denys Andreev","M","SBD","Single-ply",23.5,"24-34","24-39","Open",96.2,"100",315,205,280,800,"3",500.98,494.85,473.06,85.27,"Yes","Ukraine","2006-06-02"
"123",548820,"Heath Forren","M","SBD","Raw",36,"35-39","24-39","Submasters 35-39",73.98,"75",155,130,172.5,457.5,"1",331.13,329.15,318.22,67.17,"no","United States of America","2014-07-19"
"124",212410,"Laura Amato-Yarbrough","F","SBD","Raw",18.5,"18-19","19-23","FR-T3",77.5,"84",102.5,55,125,282.5,"1",270.49,263.25,231.24,55.2,"Yes","United States of America","2018-04-14"
"125",408713,"Molly Dennany","F","SBD","Single-ply",16,"16-17","14-18","F-HS",67.5,"67.5",155.13,84.82,150.14,390.09,"1",402.73,398.13,351.21,67.82,"Yes","United States of America","2004-03-13"
"126",662956,"Doug Mignot","M","SBD","Raw",44,"40-44","40-49","RLM 40-44",134.72,"140",282.5,192.5,250,725,"1",401.7,407.57,388.42,80.26,"Yes","United States of America","2010-11-06"
"127",436148,"Aleksandr Faschevskiy","M","SBD","Single-ply",29.5,"24-34","24-39","Open",81.2,"82.5",245,145,240,630,"7",430.65,426.13,410.32,73.7,"Yes","Russia","2003-05-22"
"128",245880,"Chris Jones #3","M","SBD","Raw",55.5,"55-59","50-59","Masters 2",89.2,"93",192.5,120,220,532.5,"4",345.88,341.51,327.43,71.1,"Yes","England","2022-11-28"
"129",430517,"Stetson Drolet","M","SBD","Raw",27,"24-34","24-39","M_OR_AWPC",74,"75",177.5,100,182.5,460,"1",332.88,330.88,319.9,67.53,"Yes","United States of America","2015-09-02"
"130",40325,"Aleksandr Deryabin","M","SBD","Wraps",18.5,"18-19","19-23","Amateur Teen 18-19",119.6,"125",200,142.5,212.5,555,"1",319.1,319.33,305.99,64.61,"Yes","Russia","2016-03-25"
"131",371505,"Robert Wood","M","SBD","Single-ply",21.5,"20-23","19-23","Open",60,"60",212.5,125,217.5,555,"2",468.44,473.35,462.23,79.76,"no","United States of America","1995-07-21"
"132",231752,"Josh Lecher","M","SBD","Raw",17.5,"18-19","14-18","Sub-Juniors",87.3,"93",155,102.5,210,467.5,"1",307.06,303.25,291.03,63.1,"Yes","Canada","2015-10-17"
"133",157248,"Allison Prestia","F","SBD","Raw",27.5,"24-34","24-39","FR-O",80.35,"82.5",130,60,137.5,327.5,"2",307.92,298.94,262.1,62.98,"Yes","United States of America","2022-08-06"
"134",221968,"Joseph Richards","M","SBD","Raw",23,"20-23","19-23","MR-Jr",89.38,"93",222.5,125,255,602.5,"2",390.94,386,370.05,80.37,"Yes","United States of America","2021-03-21"
"135",319433,"Iryna Izosimova","F","SBD","Raw",32.5,"24-34","24-39","Open",62.35,"63",75,45,110,230,"1",248.94,248.96,219.87,50.66,"Yes","Ukraine","2012-05-15"
"136",736823,"Callum Crozier","M","SBD","Raw",21.5,"20-23","19-23","Juniors",103.28,"105",262.5,207.5,302.5,772.5,"5",469.04,464.36,443.39,96.11,"Yes","UK","2018-06-06"
"137",416746,"Kirsten Olson","F","SBD","Single-ply",15,"13-15","14-18","F-JV",66.7,"67.5",125,70,132.5,327.5,"2",340.46,337.14,297.46,57.3,"Yes","United States of America","2008-04-04"
"138",271389,"Briana Escamilla","F","SBD","Single-ply",18.5,"18-19","19-23","Girls",58.69,"60.1",113.4,49.9,117.93,281.23,"1",316.16,318.97,281.91,52.94,"Yes","United States of America","2014-01-29"
"139",589748,"Marina Boudreau","F","SBD","Raw",34,"24-34","24-39","Open",57.3,"60",77.5,40,97.5,215,"1",245.48,248.46,219.68,50.23,"no","United States of America","2015-06-20"
